WARNING 2026-05-14 09:26:10,826 log Unauthorized: /api/auth/me/
WARNING 2026-05-14 09:26:24,499 log Unauthorized: /api/auth/me/
WARNING 2026-05-14 09:26:29,284 log Unauthorized: /api/auth/me/
WARNING 2026-05-14 09:27:23,865 log Bad Request: /api/auth/login/
WARNING 2026-05-14 09:27:24,335 log Unauthorized: /api/leads/
WARNING 2026-05-14 09:27:24,528 log Unauthorized: /api/dashboard/admin/
WARNING 2026-05-14 09:28:40,722 log Unauthorized: /api/auth/me/
WARNING 2026-05-14 09:30:48,396 log Unauthorized: /api/auth/login/
WARNING 2026-05-14 09:30:48,646 log Unauthorized: /api/auth/login/
WARNING 2026-05-14 09:31:02,835 log Unauthorized: /api/auth/login/
WARNING 2026-05-14 09:31:03,615 log Unauthorized: /api/auth/login/
WARNING 2026-05-14 09:31:35,313 log Not Found: /favicon.ico
WARNING 2026-05-14 09:31:41,639 log Not Found: /
WARNING 2026-05-14 09:31:43,490 log Not Found: /
WARNING 2026-05-14 09:31:44,438 log Not Found: /
WARNING 2026-05-14 09:31:45,293 log Not Found: /
WARNING 2026-05-14 09:56:37,861 log Not Found: /favicon.ico
WARNING 2026-05-14 09:57:20,484 log Not Found: /api/auth/
WARNING 2026-05-14 09:57:29,673 log Not Found: /api/auth/
WARNING 2026-05-14 09:59:05,376 log Bad Request: /api/auth/register/
WARNING 2026-05-14 10:17:33,613 log Bad Request: /api/auth/register/
WARNING 2026-05-14 10:17:58,966 log Unauthorized: /api/auth/me/
WARNING 2026-05-14 10:17:58,976 log Unauthorized: /api/auth/me/
WARNING 2026-05-14 10:17:59,009 log Unauthorized: /api/auth/me/
WARNING 2026-05-14 10:17:59,034 log Unauthorized: /api/auth/me/
WARNING 2026-05-14 10:17:59,061 log Unauthorized: /api/auth/me/
WARNING 2026-05-14 10:17:59,080 log Unauthorized: /api/auth/me/
WARNING 2026-05-14 10:18:16,339 log Unauthorized: /api/auth/login/
WARNING 2026-05-14 10:18:17,314 log Unauthorized: /api/auth/login/
WARNING 2026-05-14 10:18:24,203 log Unauthorized: /api/auth/login/
WARNING 2026-05-14 10:18:25,052 log Unauthorized: /api/auth/login/
WARNING 2026-05-14 11:07:25,486 log Unauthorized: /api/auth/me/
WARNING 2026-05-14 11:07:25,504 log Unauthorized: /api/auth/me/
WARNING 2026-05-14 11:07:25,827 log Unauthorized: /api/auth/me/
WARNING 2026-05-14 11:07:25,849 log Unauthorized: /api/auth/me/
WARNING 2026-05-14 11:07:25,867 log Unauthorized: /api/auth/me/
WARNING 2026-05-14 11:07:25,925 log Unauthorized: /api/auth/me/
WARNING 2026-05-14 11:07:57,030 log Unauthorized: /api/auth/login/
WARNING 2026-05-14 12:27:15,587 log Bad Request: /api/auth/register/
WARNING 2026-05-14 12:34:06,865 log Bad Request: /api/auth/register/
WARNING 2026-05-14 12:35:25,487 log Bad Request: /api/auth/register/
WARNING 2026-05-14 12:45:31,068 log Unauthorized: /api/auth/users/
WARNING 2026-05-14 12:50:49,173 log Not Found: /api/auth/me/2/
WARNING 2026-05-14 12:50:55,494 log Not Found: /api/auth/me/3/
WARNING 2026-05-14 12:51:03,595 log Not Found: /api/auth/3/
WARNING 2026-05-14 13:00:49,702 log Unauthorized: /api/auth/me/
WARNING 2026-05-14 13:00:49,713 log Unauthorized: /api/auth/me/
WARNING 2026-05-14 13:47:27,107 log Unauthorized: /api/auth/me/
